coefficients,x_known,y_known,z_known,e_known,hyperparameter,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand
"[ 0.12006708  1.67009906  0.58962917  0.41240431  1.43464906  0.61996441
 -0.37064185  1.59801173  0.40118786 -0.50636985  1.70172437  0.2586241 ]","[1.27 1.27 1.27 1.27 1.27 1.27 1.27 1.27 1.5  1.5  1.5  1.5  1.5  1.61
 1.61 1.61 1.61 1.95 1.95 1.95 1.95 1.95 1.95]","[-0.85 -0.56 -0.32 -0.12  0.2   0.3   0.47  0.69 -0.63 -0.3   0.08  0.18
  0.77 -0.63 -0.37  0.29  0.71 -0.58 -0.51 -0.25  0.28  0.47  0.71]","[-0.2627824  -0.11685117 -0.05828571  0.08516484  0.29084967  0.33802817
  0.31007752  0.2155477  -0.35502122 -0.16097561  0.32673267  0.37288136
  0.2        -0.39217653 -0.22790698  0.62424242  0.3032967  -0.21588595
 -0.20481928 -0.01941748  0.40606061  0.48606811  0.30150754]","[0.03327087 0.03483127 0.0337487  0.03692781 0.03867509 0.0353202
 0.0591887  0.03351316 0.03515896 0.06893216 0.04205715 0.04931621
 0.07016464 0.02913321 0.03320231 0.03040936 0.0315882  0.03115877
 0.04386107 0.04925718 0.02904394 0.03438396 0.04779282]",[0.3227919  1.01421742],0.4782608695652174,0.6086956521739131,1.0,0.4782608695652174,0.6521739130434783,0.9130434782608695,"[-0.10133268  0.52475782 -0.54946693  1.37957276  0.69078246  0.32121499
  0.08389433  0.27054602 -0.10540812 -0.01371456 -1.06117708 -0.0906731 ]","[ 0.11709166  1.8         0.50367068  0.5428373   1.65161115  0.74930926
 -0.36401365  1.61785799  0.39085133 -0.50719648  1.67160872  0.25086494]","[-3.89426154  0.4909353  -3.74499518 -0.59688136  2.99354501 -3.49086132
 -0.50301487  0.17855137  0.24043548  0.14603924 -0.45368994  0.88038375]","[ 0.05931291  1.8         0.25        0.35496784  1.67262569  0.32134849
 -0.49404683  1.61794424  0.48832032 -0.47690886  1.64255186  0.40762028]"
"[ 0.39676371  1.78561171  0.73831875 -0.71417467  1.46021528  0.70296111
  0.51012477  1.48117318  0.4241163   0.5781414   1.7285413   0.6774144 ]","[1.35 1.35 1.35 1.35 1.35 1.35 1.35 1.52 1.52 1.52 1.52 1.52 1.52 1.7
 1.7  1.7  1.7  1.7  1.7  1.7  1.8  1.8  1.8  1.8 ]","[-0.73 -0.59 -0.16 -0.1   0.13  0.49  0.84 -0.63 -0.32 -0.16  0.19  0.42
  0.62 -0.62 -0.44 -0.32 -0.07  0.3   0.44  0.83 -0.68 -0.4   0.36  0.63]","[ 0.7008547   0.59354839  0.0021978   0.09309309 -0.12633181 -0.2293578
  0.17970402  0.60362694  0.32110092  0.06993007 -0.19955407 -0.23624595
 -0.138833    0.55616438  0.40437158  0.31034483  0.05106383 -0.32758621
 -0.20447609  0.19793814  0.56880734  0.46858169 -0.1804878  -0.06638116]","[0.03297249 0.04570947 0.04688061 0.03858094 0.03870114 0.03107642
 0.04523153 0.02869426 0.04535523 0.05898648 0.03271747 0.03908724
 0.04442174 0.04350031 0.04780664 0.03222917 0.03257385 0.06203056
 0.03122115 0.03147279 0.03216115 0.03743171 0.04857542 0.04617242]",[0.30691974 1.07297964],0.5,0.7083333333333334,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.9583333333333334,"[-0.77642349 -1.36956756  0.03008785  1.21647085 -0.65498306 -1.34881126
 -0.719192    0.06704705 -1.05850632  0.14344118  0.2238778  -0.08315542]","[ 0.38339018  1.6046417   0.74999973 -0.56026883  1.4         0.52679516
  0.43195768  1.48442051  0.32192452  0.6181471   1.8         0.64183114]","[-0.58708737 -1.21054824  0.02667259  0.54378617 -0.15430348 -0.76902671
 -0.73426624 -0.07540029 -1.0839867   0.93724805  0.26066295  0.13502293]","[ 0.37793772  1.59099861  0.74759627 -0.61198476  1.4001241   0.57436777
  0.43020265  1.47708126  0.33091228  0.7041665   1.79998886  0.74162528]"
"[ 0.81646317  1.57787361  0.41034905 -0.0082471   1.54538582  0.70789952
  0.05772972  1.70179101  0.5472673   0.05772972  1.5858781   0.52469092]","[1.35 1.35 1.35 1.35 1.35 1.35 1.49 1.49 1.49 1.49 1.64 1.64 1.64 1.64
 1.64 1.64 1.82 1.82 1.82 1.82 1.82]","[-0.7  -0.49 -0.21  0.09  0.33  0.72 -0.7  -0.15  0.16  0.51 -0.8  -0.43
 -0.21  0.13  0.36  0.66 -0.64 -0.28 -0.14  0.19  0.62]","[0.72477064 0.68460576 0.63919822 0.64435146 0.59223301 0.67861021
 0.80906461 0.72513966 0.73333333 0.72516556 0.80692168 0.80114723
 0.8013544  0.80190931 0.76585366 0.71641791 0.68957346 0.68461538
 0.68683274 0.74904943 0.62323944]","[0.02494312 0.02578711 0.02566326 0.03497791 0.04583847 0.02420255
 0.01825076 0.02301742 0.04027198 0.0280177  0.02520869 0.02616915
 0.02842086 0.02063842 0.02245505 0.04261706 0.02492853 0.02609897
 0.04335818 0.04085237 0.0328133 ]",[1.26294304 0.43869063],0.38095238095238093,0.6666666666666666,0.9047619047619048,0.3333333333333333,0.42857142857142855,0.8095238095238095,"[ 0.20222839  1.58371414  0.16241418 -0.22094182 -0.39111455 -0.22274531
 -1.17895792 -7.73315936 -8.29195962 -1.51447885 -0.72417026 -0.59660628]","[ 0.82568869  1.59357211  0.4146783  -0.04631558  1.4000002   0.64145781
  0.03786013  1.4         0.25        0.01302517  1.4         0.25      ]","[  3.78722729   2.60358666   6.19477138  -5.46807414  -1.00141431
 -17.57059806  -0.63484802   0.33368074   0.09376135  -7.62451361
  -0.5642874    2.03584114]","[ 0.9996338   1.62385221  0.52600401 -0.08634813  1.44742799  0.25104908
 -0.06536119  1.79956553  0.57135605 -0.2079143   1.40010376  0.70598906]"
"[ 0.05549721  1.75115664  0.570154    0.29456212  1.731317    0.70859882
 -0.40555654  1.45605744  0.25921991 -0.37994244  1.43253148  0.6698653 ]","[1.33 1.33 1.33 1.33 1.33 1.33 1.33 1.43 1.43 1.43 1.43 1.43 1.43 1.77
 1.77 1.77 1.77 1.77 1.94 1.94 1.94 1.94 1.94 1.94 1.94]","[-0.84 -0.43 -0.22 -0.05  0.17  0.51  0.76 -0.6  -0.33 -0.17  0.19  0.29
  0.81 -0.75 -0.38 -0.15  0.22  0.53 -0.77 -0.53 -0.23  0.05  0.17  0.57
  0.68]","[-0.35460993 -0.08394698  0.07537688  0.37640449  0.37125129  0.28514056
 -0.17460317 -0.17826087  0.06437768  0.17964072  0.39130435  0.38816739
 -0.1627907  -0.1987513   0.04011065  0.09653465  0.27848101  0.25447316
 -0.15817694 -0.11960133  0.01896334  0.11342894  0.15184382  0.20061728
  0.16542156]","[0.05567929 0.03824102 0.07068645 0.04910204 0.02985959 0.06074156
 0.05547812 0.04587846 0.06537628 0.03806174 0.04797194 0.03500827
 0.0672897  0.03161451 0.03716047 0.03501557 0.03417098 0.03049042
 0.03615168 0.0404644  0.03554951 0.03587487 0.03255137 0.03848506
 0.0322185 ]",[4.77195771 0.26872094],0.68,0.76,0.92,0.36,0.48,0.8,"[-2.49776501  0.25186411 -4.81228169 -1.03428152  0.26384251 -1.44195531
 -1.31425669 -1.14871487  1.58670606  1.11672427 -0.37311894 -2.73487597]","[ 0.03284595  1.77157154  0.25        0.22099797  1.8         0.46019115
 -0.46486688  1.4         0.30431216 -0.28238507  1.4         0.35963189]","[ 1.00611123  0.15970873  0.3601986  -0.13810777 -0.89102168  0.08889681
 -1.08281425 -2.63915499  2.70941581 -2.35377865 -0.08850085  0.18636116]","[ 0.07329075  1.8         0.74999977  0.28758929  1.40000001  0.74999859
 -0.45876723  1.4         0.37375144 -0.53779315  1.40000236  0.74999864]"
"[-0.41879044  1.67721603  0.53340185 -0.37310421  1.73718139  0.41468971
  0.15990181  1.7137692   0.48467406  0.60153536  1.42180424  0.26326661]","[1.38 1.38 1.38 1.38 1.38 1.38 1.54 1.54 1.54 1.54 1.7  1.7  1.7  1.7
 1.7  1.7  1.7  1.7  1.7  1.9  1.9  1.9  1.9  1.9  1.9 ]","[-0.77 -0.5  -0.24  0.04  0.35  0.57 -0.51 -0.41  0.31  0.48 -0.85 -0.64
 -0.44 -0.27 -0.06  0.24  0.28  0.59  0.81 -0.82 -0.44 -0.19  0.24  0.44
  0.62]","[-0.02955665  0.25324675  0.04267589 -0.38461538 -0.73638344 -0.84769539
  0.19672131  0.20418848 -0.76078431 -0.81602374 -0.02272727  0.1454219
 -0.08056872 -0.06730769 -0.2826087  -0.61218837 -0.69067296 -0.67481403
 -0.43678161 -0.029036   -0.05841924 -0.21412804 -0.37162162 -0.45316456
 -0.50625   ]","[0.04960748 0.05512283 0.03393084 0.04390629 0.02232995 0.02374769
 0.03623882 0.0354165  0.02873842 0.03148667 0.06152985 0.04192094
 0.06861903 0.06918029 0.03779917 0.04161642 0.02484832 0.02405772
 0.039373   0.03406554 0.03378707 0.04589433 0.05396124 0.04485255
 0.03408883]",[0.29461661 0.78268419],0.36,0.52,0.96,0.4,0.56,0.92,"[-0.24327062 -1.70962565  0.38099    -0.11629093 -2.0790777  -0.04335926
 -2.7440199   0.54023246 -8.78754299  0.02318455  0.18878196  0.55451709]","[-0.45061837  1.54925425  0.59716256 -0.38924863  1.52034326  0.40833276
  0.09975185  1.75646364  0.25        0.60432059  1.43290674  0.29308322]","[-0.25365301 -1.52738346  0.24575022  0.17264472 -2.14710208 -0.69514601
 -2.66540643  0.28357396 -5.77562918 -0.00595665 -0.04833246  0.69374288]","[-0.46940806  1.51636823  0.63296976 -0.35231467  1.5465505   0.33966051
  0.09743206  1.73748754  0.25        0.60062725  1.40316149  0.30700367]"
"[-0.25816085  1.40094787  0.30591508 -0.41530224  1.41004135  0.67009436
 -0.10101946  1.62258743  0.52600755  0.50509732  1.586129    0.48302661]","[1.36 1.36 1.36 1.36 1.36 1.36 1.57 1.57 1.57 1.57 1.61 1.61 1.61 1.61
 1.84 1.84 1.84 1.84]","[-0.7  -0.56 -0.07  0.17  0.47  0.6  -0.61 -0.05  0.05  0.75 -0.49 -0.23
  0.29  0.73 -0.85 -0.07  0.17  0.5 ]","[-0.04       -0.09090909 -0.21176471 -0.46458583 -0.60191083 -0.6105919
  0.00936768 -0.24260355 -0.19642857 -0.49438202  0.00659341 -0.03416149
 -0.48666667 -0.48101266 -0.10932476 -0.02713178 -0.16836735 -0.34070796]","[0.06661331 0.03276136 0.03352182 0.03068173 0.03186615 0.03125559
 0.03421779 0.03731252 0.06551362 0.04606988 0.0468797  0.03938252
 0.03566407 0.02847434 0.03985601 0.04400634 0.0497866  0.03126956]",[0.04367704 1.00721511],0.3888888888888889,0.8333333333333334,1.0,1.0,1.0,1.0,"[ 0.29609143  0.07850406 -0.33009417  0.5898842   0.00693989 -0.52422306
 -0.13662062  0.30912455  0.45564188 -0.1757181   0.00120833 -0.21120832]","[-0.24056376  1.40675062  0.28178902 -0.26902634  1.41225787  0.48667283
 -0.11581358  1.69887959  0.74994284  0.45792538  1.58632116  0.40062658]","[ 0.47653378  0.38005739 -0.14803195  0.33919721 -0.04518809 -0.03840601
  0.68477743  0.73532127 -1.0757022  -0.21398478 -0.51534268 -0.46997089]","[-0.22711155  1.43796076  0.25000073 -0.04478565  1.40000727  0.65591848
 -0.03571542  1.79999941  0.25001773  0.40416916  1.40017355  0.30481692]"
"[ 0.19048875  1.5907017   0.33732805 -0.25268916  1.52539992  0.55091288
  0.05053783  1.63128575  0.36048667  0.38486502  1.68612832  0.30250161]","[1.26 1.26 1.26 1.26 1.26 1.59 1.59 1.59 1.59 1.66 1.66 1.66 1.66 1.66
 1.88 1.88 1.88 1.88 1.88 1.88 1.88]","[-0.67 -0.36  0.    0.49  0.72 -0.84 -0.43  0.06  0.77 -0.7  -0.18 -0.14
  0.17  0.69 -0.65 -0.53 -0.14  0.03  0.16  0.55  0.67]","[ 0.32046332  0.28244275  0.0368272  -0.05820106  0.02459016  0.30740741
  0.56136821  0.12052117  0.14659686  0.49308756  0.31600547  0.29179031
  0.04964539 -0.04761905  0.35395189  0.38928571  0.19471154  0.12166172
  0.01271186 -0.12176166  0.03172738]","[0.05885993 0.03748233 0.05318852 0.03247486 0.04525418 0.0409494
 0.0262488  0.04006255 0.05061169 0.05905807 0.03509106 0.03008163
 0.04205567 0.03684371 0.03876792 0.0389243  0.03400522 0.03823243
 0.0325446  0.03572299 0.0342623 ]",[0.35647377 0.82977131],0.5238095238095238,0.6666666666666666,0.9047619047619048,0.6190476190476191,0.8095238095238095,0.9523809523809523,"[ 0.02463664  0.04936338  0.09607888  1.72652841  0.14070046 -2.16330685
  0.64185023 -0.67894504  0.69975093  0.71436891 -0.89259231  0.127468  ]","[ 0.19099904  1.59237806  0.34159219 -0.14572857  1.54177502  0.29434457
  0.18997585  1.40002271  0.65757631  0.46057421  1.62333622  0.31211138]","[-0.49233738 -1.51899828 -0.9759737   3.53837983  2.66430543 -0.73851095
  0.16196966 -0.79906673 -0.22325083  0.30067841 -1.68226062  0.40242958]","[ 0.17699493  1.5366848   0.282013   -0.15987634  1.72429279  0.25004477
  0.05677005  1.40000001  0.25000233  0.45167315  1.49603021  0.43975205]"
"[-0.09452682  1.56907651  0.35005028 -0.51044484  1.64951372  0.66138001
  0.29618404  1.47020867  0.34844608 -0.53565199  1.41530332  0.60609259]","[1.33 1.33 1.33 1.33 1.48 1.48 1.48 1.48 1.48 1.48 1.48 1.67 1.67 1.67
 1.67 1.67 1.67 1.67 1.67 1.9  1.9  1.9  1.9  1.9  1.9  1.9  1.9  1.9 ]","[-0.67 -0.29  0.    0.76 -0.77 -0.57 -0.37 -0.1   0.22  0.39  0.62 -0.84
 -0.51 -0.27 -0.19  0.05  0.37  0.58  0.76 -0.8  -0.62 -0.39 -0.12 -0.03
  0.22  0.3   0.52  0.79]","[ 0.18828452 -0.36518771 -0.26259947 -0.17253521  0.24941725  0.03870968
 -0.25995316 -0.28502415 -0.19432624 -0.16747573 -0.17452229  0.34408602
 -0.16969697 -0.21487603 -0.31988473 -0.21929825 -0.16267943 -0.16811092
 -0.20221607  0.26080477  0.03939962 -0.00924214 -0.20903955 -0.27320955
 -0.15682281 -0.10797175 -0.13258984 -0.18913481]","[0.06352771 0.05438574 0.03513976 0.04132982 0.0330605  0.05675361
 0.04672969 0.0471087  0.03694422 0.03434462 0.03514378 0.06884628
 0.03132113 0.03624656 0.05086213 0.06461452 0.04826005 0.04103806
 0.0364473  0.03726853 0.04328118 0.04299152 0.04243756 0.04954318
 0.04457097 0.03158034 0.03489087 0.0311456 ]",[0.46178544 0.48786099],0.5714285714285714,0.6785714285714286,0.8571428571428571,0.5714285714285714,0.7142857142857143,1.0,"[ 0.56316401  0.09460847 -0.79975109 -2.3733445  -0.72638142  0.19011819
  2.06012412 -0.77110084  1.54074586  1.56777813 -0.04153558 -1.87457343]","[-0.08521894  1.57409711  0.29492667 -0.6029798   1.4         0.74999931
  0.44410002  1.4         0.50226935 -0.42221629  1.40000234  0.44348413]","[ 2.05351749  0.14176815 -0.20168684 -0.75728897 -0.47114638  0.21449109
  1.67542172 -0.19055076  1.36548522  4.24073776  2.4685018  -3.17258146]","[-0.07619133  1.57429487  0.25016858 -0.54685004  1.52582078  0.74999792
  0.46010271  1.40000024  0.53698216 -0.22811852  1.59585998  0.29419734]"
"[-0.30062055  1.42785225  0.26336107  0.43132514  1.64320217  0.6073031
 -0.30062055  1.52690366  0.52635586  0.39647058  1.54636288  0.74306682]","[1.29 1.29 1.29 1.29 1.29 1.29 1.29 1.29 1.5  1.5  1.5  1.5  1.68 1.68
 1.68 1.68 1.68 1.68 1.68 1.68 1.86 1.86 1.86 1.86 1.86 1.86 1.86 1.86
 1.86]","[-0.7  -0.64 -0.42 -0.17  0.13  0.35  0.62  0.72 -0.45 -0.14  0.12  0.53
 -0.77 -0.64 -0.24 -0.2   0.18  0.36  0.5   0.71 -0.77 -0.52 -0.4  -0.23
  0.08  0.24  0.35  0.48  0.82]","[-0.46325879 -0.54915254 -0.33560091 -0.33503836 -0.41017964 -0.35833333
 -0.31448763 -0.35980149 -0.47598253 -0.41804788 -0.30299667 -0.28169014
 -0.61420118 -0.42446043 -0.17663818 -0.16239316 -0.27887324 -0.21777778
 -0.28698752 -0.26406926 -0.38624339 -0.19041614 -0.10096154 -0.04604052
 -0.04858757 -0.02457467 -0.00436681 -0.08395062 -0.02203857]","[0.05009229 0.03440614 0.03171893 0.04764933 0.03528652 0.06026322
 0.03257857 0.03286454 0.058116   0.03898425 0.03174875 0.0360096
 0.02714757 0.02902728 0.0371491  0.06450431 0.05096891 0.0375662
 0.04044402 0.06345969 0.03354725 0.03486131 0.03449162 0.0428686
 0.03357493 0.04346513 0.06608123 0.03501238 0.03710447]",[0.18342444 0.73928385],0.41379310344827586,0.6206896551724138,0.8620689655172413,0.7241379310344828,0.9310344827586207,1.0,"[-1.50371946 -0.28167852  1.23901399 -1.85996649 -0.24167251 -1.44232354
  1.22452232  1.49004695 -1.09077961 -0.27922423  0.35931408 -0.62190457]","[-0.32632195  1.4222848   0.29081183  0.25803077  1.62416519  0.36960762
 -0.2025926   1.71634063  0.35100779  0.25359616  1.6640231   0.52506496]","[-0.89130878  0.37618185  0.81060687 -2.00830696 -1.89342736 -1.14452535
  2.4388239   1.502139   -0.59112294 -0.35430321 -0.38602536  0.0144758 ]","[-0.34277656  1.44339114  0.30887847  0.2065605   1.50273497  0.28335928
 -0.1689706   1.72233233  0.25000539  0.32635305  1.40025353  0.74843389]"
"[-0.00550312  1.43073914  0.45583098 -0.45675925  1.48242524  0.72521956
 -0.0935531   1.478612    0.34093156 -0.54480923  1.66723497  0.57101095]","[1.28 1.28 1.28 1.28 1.28 1.28 1.28 1.42 1.42 1.42 1.42 1.42 1.42 1.42
 1.6  1.6  1.6  1.6  1.6  1.98 1.98 1.98 1.98]","[-0.62 -0.52 -0.25 -0.06  0.35  0.47  0.77 -0.72 -0.4  -0.15  0.06  0.27
  0.56  0.8  -0.77 -0.18 -0.01  0.28  0.82 -0.74 -0.23  0.01  0.57]","[ 0.05909618 -0.02564103 -0.03541315  0.03743316  0.05882353 -0.08794788
 -0.23392613  0.1036036  -0.05952381  0.03907381  0.0952381   0.11331133
  0.002997   -0.28365385  0.14509804 -0.03202847  0.06067961  0.15706806
 -0.31235955  0.1634349  -0.00284091  0.11013216  0.        ]","[0.0339809  0.04133132 0.04103932 0.05167253 0.05283397 0.05685186
 0.03596013 0.03337722 0.03850744 0.03801274 0.03965986 0.03295429
 0.03160684 0.0332448  0.06195971 0.03442416 0.03477246 0.05052939
 0.03184286 0.03671574 0.03768877 0.06596859 0.06063391]",[0.2999437  1.08966243],0.6521739130434783,0.782608695652174,0.9565217391304348,0.6956521739130435,0.7391304347826086,1.0,"[ 1.72795974  4.12537017 -1.97488143 -1.12867323  0.05058577  0.05805971
  1.42694517  0.25237191 -0.2373682   1.89786964 -0.77090283 -3.33261083]","[ 0.0148103   1.8         0.25       -0.50245725  1.49458653  0.74999978
 -0.06566347  1.50975077  0.25007183 -0.39459029  1.61299298  0.32832665]","[-0.41235019 -0.08041631 -0.50652091  0.50299388  0.28585797  0.05606264
  0.80890917  1.21094196 -0.28386767  2.42480477 -0.75350622 -1.23564725]","[-0.00902111  1.4         0.25001822 -0.43094821  1.56097763  0.74971969
 -0.07224584  1.63174603  0.25000034 -0.28222123  1.58781436  0.37734017]"
"[ 0.48699345  1.54929832  0.48469508  0.54012001  1.6631274   0.71585776
 -0.38074033  1.53781828  0.74410335 -0.15052525  1.67026667  0.70674378]","[1.29 1.29 1.29 1.29 1.55 1.55 1.55 1.55 1.55 1.55 1.55 1.79 1.79 1.79
 1.79 1.79 1.79 1.79 1.79 1.98 1.98 1.98 1.98 1.98 1.98]","[-0.82 -0.08  0.23  0.67 -0.68 -0.61 -0.18 -0.04  0.34  0.47  0.71 -0.73
 -0.54 -0.32 -0.21  0.15  0.35  0.5   0.7  -0.69 -0.31 -0.22  0.12  0.3
  0.77]","[0.00869565 0.40417457 0.48074807 0.53363229 0.20815451 0.20861678
 0.33913043 0.50887574 0.56989247 0.63355408 0.57356608 0.10318949
 0.17679558 0.32126697 0.31376147 0.59272727 0.49665328 0.57345972
 0.46774194 0.01851852 0.26829268 0.26869806 0.43949045 0.5
 0.375     ]","[0.03524404 0.03984417 0.02908357 0.04004584 0.0320386  0.03293089
 0.03923154 0.03310923 0.03810632 0.03635152 0.02892552 0.04308358
 0.03657927 0.03677799 0.04067219 0.04856764 0.03175659 0.03256162
 0.05612549 0.06802971 0.05686401 0.0358475  0.03584397 0.03330867
 0.03277528]",[1.10339054 0.33863669],0.32,0.6,0.92,0.68,0.84,1.0,"[ 0.29770744  0.51047881  0.20875153 -0.14193415 -0.8079091   0.09882376
  0.31685242  0.80092058  0.01326234  0.71028526  1.59864787 -0.97080513]","[ 0.50151251  1.56481999  0.49600882  0.53405199  1.4         0.7499995
 -0.36579328  1.8         0.74999989 -0.10298551  1.8         0.33252471]","[ 0.44492912  0.30497113  0.58787837 -0.62486819 -0.4227137   0.0867143
 -0.25463317  0.56746272  0.01316798 -0.22789098  0.38730792 -0.59559026]","[ 0.52511343  1.56767729  0.54165313  0.50003975  1.52199296  0.74999995
 -0.39765272  1.71263807  0.74999732 -0.18971823  1.79999999  0.47877907]"
"[-0.54582806  1.47650804  0.60956605 -0.09372805  1.74113995  0.429583
 -0.46864026  1.73603031  0.2701866   0.06064756  1.46761622  0.40596745]","[1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.22 1.55 1.55 1.55 1.55 1.55
 1.55 1.55 1.55 1.55 1.66 1.66 1.66 1.66 1.66 1.66 1.66 1.66 1.66 1.83
 1.83 1.83 1.83]","[-0.8  -0.52 -0.37 -0.29 -0.01  0.11  0.32  0.59  0.77 -0.69 -0.62 -0.46
 -0.15  0.07  0.23  0.44  0.65  0.74 -0.81 -0.66 -0.35 -0.15  0.01  0.11
  0.36  0.62  0.77 -0.6  -0.05  0.21  0.62]","[-0.36617843 -0.27540501 -0.34201954 -0.30434783 -0.28817734 -0.30729167
 -0.30662983 -0.37634409 -0.49418605 -0.39516129 -0.31055901 -0.16091954
 -0.07061503 -0.05405405 -0.16607774 -0.42156863 -0.50643275 -0.56592292
 -0.52753108 -0.36753927 -0.08880309  0.01646542 -0.04008439 -0.00869565
 -0.2        -0.41052632 -0.66759777 -0.23245614  0.02949853 -0.04201681
 -0.43478261]","[0.03395606 0.03689239 0.0536311  0.03140501 0.03360437 0.04856192
 0.03537444 0.03202383 0.03314389 0.0583319  0.03058358 0.05290701
 0.03366412 0.05803884 0.04144941 0.04489312 0.02948934 0.03713173
 0.03580366 0.03009435 0.04376389 0.03312699 0.03245239 0.04662348
 0.04724995 0.03819314 0.0278241  0.03220623 0.03838806 0.03739101
 0.06638835]",[0.07545297 1.21984318],0.6451612903225806,0.8064516129032258,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,"[ 0.03181394 -2.93800669 -0.15833615 -0.2397175  -0.3620079   0.11424459
 -0.13885185  0.09345256  0.59867358 -1.02988705  0.65528316 -0.46855144]","[-0.54265053  1.4         0.5906773  -0.12450393  1.6683891   0.46922442
 -0.47952404  1.74116577  0.29319488  0.0320374   1.64826709  0.25      ]","[ 0.25124113 -0.09487937 -0.49815413  0.01653793  0.21220625 -0.38557901
  0.31475491 -0.03618418 -0.04607191  0.04052254  0.35663083 -0.31616959]","[-0.42730272  1.45273638  0.47233449 -0.0883183   1.79856565  0.2504568
 -0.39737341  1.72310489  0.25001008  0.07285419  1.5439553   0.25000932]"
"[-0.2279582   1.41052847  0.64389679  0.45035644  1.73416025  0.38171938
 -0.20571837  1.55134599  0.38348629 -0.0500396   1.44163105  0.35051732]","[1.27 1.27 1.27 1.27 1.27 1.27 1.49 1.49 1.49 1.49 1.49 1.49 1.49 1.49
 1.68 1.68 1.68 1.68 1.68 1.68 1.68 1.86 1.86 1.86 1.86 1.86 1.86 1.86
 1.86]","[-0.78 -0.37 -0.15  0.04  0.48  0.79 -0.77 -0.47 -0.31 -0.08  0.15  0.31
  0.43  0.72 -0.65 -0.44 -0.19 -0.05  0.24  0.45  0.73 -0.65 -0.45 -0.33
 -0.09  0.19  0.22  0.62  0.74]","[-0.34666667 -0.1826087  -0.14726508  0.01472995  0.003003    0.04255319
 -0.55758267 -0.28197674 -0.2        -0.04611331 -0.01941748  0.039807
  0.07869482  0.09189189 -0.47619048 -0.3516295  -0.17473684 -0.08510638
  0.09364162  0.14653784  0.07392996 -0.41330166 -0.28159645 -0.18984547
 -0.04100946  0.12293578  0.05765408  0.16721311  0.18991597]","[0.03126628 0.04584127 0.03704198 0.04045128 0.03874904 0.07286643
 0.02803121 0.03657759 0.03145935 0.03625909 0.06966017 0.03470391
 0.04367493 0.03274068 0.03112837 0.03877093 0.04517724 0.03249807
 0.03385162 0.03969543 0.0439874  0.03138115 0.04518264 0.03261858
 0.05611835 0.04251037 0.04451363 0.03991877 0.04024989]",[0.18826135 1.24915579],0.4482758620689655,0.6896551724137931,1.0,0.9310344827586207,0.9655172413793104,1.0,"[ 5.46608062  3.33517605 -5.76503657  0.15281197 -0.22324552  0.17719606
  0.54842744  1.0587119  -1.07669567 -0.21747249  1.11982272  0.91228948]","[-0.12881955  1.54166246  0.32420706  0.46183835  1.72373459  0.39371847
 -0.18252085  1.62035495  0.29750232 -0.06598113  1.79999504  0.74903755]","[ 1.99821365  2.05154604 -2.40427139  0.00556858 -0.51399919 -0.12375974
  0.62975468  0.35921465 -0.3866303   1.22872933 -0.12924202 -0.39747549]","[-0.13295222  1.57730629  0.31543092  0.45107573  1.68573003  0.3662325
 -0.17129073  1.58626284  0.25000001  0.0236836   1.40000002  0.25001679]"
